"","classification","value"
"1","Infection",19.3990134978992
"2","Infection",24.9958828745273
"3","Infection",18.804079903531
"4","Infection",17.1245598359838
"5","Infection",18.4545177456552
"6","Infection",11.4878828154918
"7","Infection",17.0876810462477
"8","Infection",17.1951797545504
"9","Infection",13.5287295522434
"10","Infection",8.77115033632967
"11","Infection",22.0132245707573
"12","Infection",13.3739540544468
"13","Infection",21.3475416543585
"14","Infection",12.7254940556303
"15","Infection",12.5197712488377
"16","Infection",21.7387372501503
"17","Infection",26.2829046054897
"18","Infection",7.83798815177409
"19","Infection",20.5667428170677
"20","Infection",5.57504514304264
"21","Infection",10.4803524253199
"22","Infection",22.2655534939667
"23","Infection",16.9172568954961
"24","Infection",12.9716366551078
"25","Infection",21.2439815041637
"26","Infection",16.0127041302876
"27","Infection",20.1050143659571
"28","Infection",27.4166422551412
"29","Infection",11.0595744955468
"30","Infection",14.2716012454643
"31","Infection",13.6936274264939
"32","Infection",31.5937383640951
"33","Infection",19.33613680988
"34","Infection",18.2397354916095
"35","Infection",16.0793298211142
"36","Infection",16.9409134290351
"37","Infection",22.6466148081466
"38","Infection",11.5759839497046
"39","Infection",14.3123817189706
"40","Infection",13.4973022565406
"41","Infection",17.0336048303491
"42","Infection",21.8033644351512
"43","Infection",19.1598446233331
"44","Infection",8.97949454954653
"45","Infection",14.1052744856336
"46","Infection",19.0878399972062
"47","Infection",17.4095311594599
"48","Infection",5.46464492420374
"49","Infection",13.3866559328992
"50","Infection",14.0827420657356
"51","Not-Infection",12.9578719827348
"52","Not-Infection",10.2443687013355
"53","Not-Infection",9.58539501798784
"54","Not-Infection",4.71873105542279
"55","Not-Infection",10.363743943571
"56","Not-Infection",6.70199069880346
"57","Not-Infection",9.31130624587837
"58","Not-Infection",4.65187353890949
"59","Not-Infection",2.21035125648181
"60","Not-Infection",4.27563755390542
"61","Not-Infection",20.5990010754469
"62","Not-Infection",5.96824352017043
"63","Not-Infection",10.6982504976182
"64","Not-Infection",6.48566858362106
"65","Not-Infection",3.92559213491571
"66","Not-Infection",5.32189463799978
"67","Not-Infection",11.1477829031694
"68","Not-Infection",8.19281070495585
"69","Not-Infection",1.223908698993
"70","Not-Infection",10.6651599328346
"71","Not-Infection",11.6358014792836
"72","Not-Infection",3.66949779735697
"73","Not-Infection",8.49198603891231
"74","Not-Infection",3.9282055402492
"75","Not-Infection",7.86111276427591
"76","Not-Infection",1.41929692950537
"77","Not-Infection",10.9723566488126
"78","Not-Infection",11.070770398419
"79","Not-Infection",4.09977572624384
"80","Not-Infection",9.28078493262785
"81","Not-Infection",14.9969396522616
"82","Not-Infection",3.33811392264175
"83","Not-Infection",0.282022147661184
"84","Not-Infection",5.12953955183417
"85","Not-Infection",8.5539145055364
"86","Not-Infection",12.3505385109639
"87","Not-Infection",6.07551208600947
"88","Not-Infection",7.7613764712751
"89","Not-Infection",11.0947484532234
"90","Not-Infection",5.61893698648362
"91","Not-Infection",6.55591790487027
"92","Not-Infection",4.47286026579172
"93","Not-Infection",9.23504811014316
"94","Not-Infection",7.42192913695831
"95","Not-Infection",8.24388294106774
"96","Not-Infection",10.3700966715729
"97","Not-Infection",4.54311655151328
"98","Not-Infection",6.31515581137151
"99","Not-Infection",4.37879411519659
"100","Not-Infection",5.89589965584524
