"","classification","value"
"1","Infection",133.362714050861
"2","Infection",135.495953397936
"3","Infection",167.252532573935
"4","Infection",73.5768046239804
"5","Infection",84.5650297607519
"6","Infection",108.015443971926
"7","Infection",87.4529482612569
"8","Infection",108.910339869257
"9","Infection",171.213017671889
"10","Infection",149.382448699288
"11","Infection",149.080109817183
"12","Infection",27.747826227558
"13","Infection",125.431918583233
"14","Infection",39.2367574117114
"15","Infection",118.114069409064
"16","Infection",106.069111855872
"17","Infection",89.5188454369246
"18","Infection",131.459130058673
"19","Infection",57.6495020776039
"20","Infection",33.4170536384787
"21","Infection",77.4112572332332
"22","Infection",121.777065923273
"23","Infection",98.7157753515868
"24","Infection",66.9689338963794
"25","Infection",71.6981322025383
"26","Infection",111.362950986093
"27","Infection",79.3517856381769
"28","Infection",89.7877347507278
"29","Infection",44.9396891157635
"30","Infection",132.002833037255
"31","Infection",52.364719834286
"32","Infection",143.01376762384
"33","Infection",169.279018288939
"34","Infection",217.318516007574
"35","Infection",93.524872625607
"36","Infection",72.3857999062426
"37","Infection",113.776150836352
"38","Infection",176.62365911357
"39","Infection",162.830997811309
"40","Infection",77.3031021793498
"41","Infection",36.1313106285119
"42","Infection",112.583008313184
"43","Infection",178.106426366224
"44","Infection",196.140294361217
"45","Infection",151.55170655882
"46","Infection",129.468381210152
"47","Infection",145.236377811852
"48","Infection",84.8822371373143
"49","Infection",101.093194739287
"50","Infection",181.071664479834
"51","Not-Infection",9.96545220892796
"52","Not-Infection",0.55351046052562
"53","Not-Infection",4.22685524161491
"54","Not-Infection",7.36415543594429
"55","Not-Infection",10.0425229325913
"56","Not-Infection",4.05194352854387
"57","Not-Infection",2.98764154382491
"58","Not-Infection",2.5754948187061
"59","Not-Infection",4.02983722254449
"60","Not-Infection",11.8723025232515
"61","Not-Infection",0.534570441533264
"62","Not-Infection",1.96192949049721
"63","Not-Infection",4.34514185610403
"64","Not-Infection",4.52387224612132
"65","Not-Infection",4.16747243144268
"66","Not-Infection",5.45718270217669
"67","Not-Infection",6.43936139224767
"68","Not-Infection",2.29042231239741
"69","Not-Infection",1.25934661778923
"70","Not-Infection",28.2615252017627
"71","Not-Infection",0.672026019114019
"72","Not-Infection",2.51175731743945
"73","Not-Infection",6.9231451425023
"74","Not-Infection",2.19628823051017
"75","Not-Infection",9.14713625524174
"76","Not-Infection",8.37048930104913
"77","Not-Infection",1.96044271129595
"78","Not-Infection",4.7273720934321
"79","Not-Infection",44.5238697505924
"80","Not-Infection",0.459756707469216
"81","Not-Infection",0.515917173760952
"82","Not-Infection",9.20083560072304
"83","Not-Infection",1.77090265600911
"84","Not-Infection",6.11395096099012
"85","Not-Infection",3.09178653894561
"86","Not-Infection",3.63620405077289
"87","Not-Infection",1.43232957829572
"88","Not-Infection",2.35629065012009
"89","Not-Infection",7.41991241442058
"90","Not-Infection",7.5332187728964
"91","Not-Infection",10.232762310834
"92","Not-Infection",1.60824568717013
"93","Not-Infection",4.42382590605169
"94","Not-Infection",1.21183144222422
"95","Not-Infection",5.76077965729734
"96","Not-Infection",4.6749822161205
"97","Not-Infection",8.01592921349626
"98","Not-Infection",1.51235470652094
"99","Not-Infection",4.11303257375406
"100","Not-Infection",1.58919365536306
